                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95796,                 1.6531,                  1.539,                0.90835,                0.83133,                0.89347,                0.44275,                 1.5181,                 2.4218,                 2.6225,             0.00065385,             0.00065385,             0.00065385
                      2,                 1.0351,                 1.2464,                 1.5803,                0.73508,                0.50602,                0.60684,                0.30845,                  1.881,                 2.1029,                 3.2815,              0.0012769,              0.0012769,              0.0012769
                      3,                 1.0345,                 1.1583,                 1.5813,                0.72598,                0.67035,                0.77106,                0.37985,                 1.7724,                 2.2583,                 3.1468,               0.001856,               0.001856,               0.001856
                      4,                 1.0681,                 1.1163,                 1.6247,                0.13946,                0.33735,                0.11759,                0.04635,                 2.6072,                 3.7234,                 3.7707,               0.001802,               0.001802,               0.001802
                      5,                 1.0367,                 1.0361,                 1.5897,                0.87618,                0.55422,                0.67211,                0.32248,                 1.9639,                   1.55,                 3.0685,               0.001736,               0.001736,               0.001736
                      6,                 1.0395,                0.97758,                 1.6023,                 0.7561,                0.59036,                0.69479,                0.23088,                 2.1806,                 2.1074,                 2.9589,                0.00167,                0.00167,                0.00167
                      7,                0.99425,                0.94898,                 1.5471,                0.69463,                 0.6506,                 0.7249,                0.32794,                  1.761,                 1.6305,                 2.4907,               0.001604,               0.001604,               0.001604
                      8,                0.98789,                0.90595,                 1.5472,                0.74213,                0.83216,                 0.8347,                0.39291,                 1.7561,                 1.4228,                 2.4938,               0.001538,               0.001538,               0.001538
                      9,                0.94319,                0.86304,                 1.5192,                0.88072,                0.71167,                0.80902,                0.43172,                 1.6852,                 1.1009,                  2.855,               0.001472,               0.001472,               0.001472
                     10,                0.94257,                0.82743,                 1.5231,                0.83294,                0.72089,                0.78309,                0.41742,                 1.6716,                 1.1403,                 2.9966,               0.001406,               0.001406,               0.001406
                     11,                0.91841,                0.81422,                 1.4863,                0.91278,                0.75659,                0.83029,                0.45309,                 1.6238,                 1.0865,                 2.3393,                0.00134,                0.00134,                0.00134
                     12,                0.88561,                0.80899,                 1.4757,                0.84431,                0.83133,                0.86713,                0.47396,                 1.4814,                 1.1023,                 2.2885,               0.001274,               0.001274,               0.001274
                     13,                0.87177,                0.75467,                 1.4561,                0.87293,                0.82771,                0.84318,                0.44225,                 1.5166,                0.97408,                 2.6227,               0.001208,               0.001208,               0.001208
                     14,                0.87115,                0.74997,                 1.4599,                0.75907,                0.80723,                0.80716,                0.43982,                 1.5924,                 1.1061,                 2.2705,               0.001142,               0.001142,               0.001142
                     15,                0.82805,                0.72245,                 1.4116,                0.87469,                0.78313,                0.81942,                0.45994,                 1.4738,                 1.0389,                 2.3651,               0.001076,               0.001076,               0.001076
                     16,                0.83355,                  0.742,                 1.4268,                0.85928,                0.80932,                0.84717,                0.47552,                 1.5497,                0.93467,                 2.6876,                0.00101,                0.00101,                0.00101
                     17,                0.83156,                0.72233,                   1.43,                0.88055,                0.83133,                0.88065,                0.52442,                  1.393,                0.96241,                 2.2672,               0.000944,               0.000944,               0.000944
                     18,                0.78058,                0.64134,                 1.3762,                0.82613,                0.80723,                0.84742,                0.49508,                 1.4335,                0.98868,                 2.1773,               0.000878,               0.000878,               0.000878
                     19,                0.77446,                0.67565,                 1.3825,                0.91444,                0.81928,                0.86731,                0.51202,                 1.4295,                 1.0062,                 2.2068,               0.000812,               0.000812,               0.000812
                     20,                0.77525,                0.65508,                 1.3892,                0.91586,                0.77108,                0.87036,                0.52041,                 1.4169,                0.99556,                 2.1462,               0.000746,               0.000746,               0.000746
                     21,                0.72288,                 0.6351,                 1.5168,                0.88385,                0.86747,                0.87029,                0.48395,                 1.4098,                  1.074,                 2.4554,                0.00068,                0.00068,                0.00068
                     22,                0.64295,                0.47226,                 1.4474,                0.89499,                0.84337,                0.88182,                0.52854,                 1.3562,                0.89373,                 2.2204,               0.000614,               0.000614,               0.000614
                     23,                0.61791,                0.45793,                 1.4066,                0.91992,                0.85542,                0.89601,                0.56384,                 1.2934,                0.85986,                 2.1168,               0.000548,               0.000548,               0.000548
                     24,                0.60643,                0.43204,                 1.4127,                0.91964,                0.86747,                0.89608,                0.54154,                  1.364,                0.83403,                 2.2338,               0.000482,               0.000482,               0.000482
                     25,                0.57707,                0.42187,                 1.3787,                0.95401,                0.87952,                 0.8867,                0.56343,                 1.2719,                0.88235,                 2.0796,               0.000416,               0.000416,               0.000416
                     26,                0.56727,                  0.402,                 1.3495,                0.93862,                0.84337,                 0.8985,                 0.5729,                 1.3166,                0.87747,                 2.0999,                0.00035,                0.00035,                0.00035
                     27,                0.52912,                0.37253,                 1.3198,                0.91459,                0.86747,                0.89963,                0.56167,                 1.2986,                0.82383,                 2.1681,               0.000284,               0.000284,               0.000284
                     28,                  0.526,                0.37188,                  1.317,                0.94564,                0.83844,                0.90632,                0.57481,                 1.2451,                0.83866,                 2.1098,               0.000218,               0.000218,               0.000218
                     29,                0.51714,                0.35509,                 1.2922,                0.93574,                0.86747,                0.91593,                0.59604,                 1.2102,                0.81335,                 1.9953,               0.000152,               0.000152,               0.000152
                     30,                0.48881,                0.35199,                 1.2698,                0.97285,                 0.8635,                0.91358,                0.57632,                 1.2448,                0.82322,                 2.0188,                8.6e-05,                8.6e-05,                8.6e-05
